id,legacy_date_found,legacy_time_found,location,item_type,description,legacy_status,entered_by,updated_by,found_by,created_at,updated_at,image_url,legacy_claimed_by,where_found,date_found,datetime_found,claimed_by,purged,claimed
9032,,,doe south entrance,public transit cards,Clipper card for Jon Doe,,Jon Doe,Jon Doe,security,2024-11-24 21:19:41.05807,2024-11-24 21:50:19.03817,,,moff 4,2024-11-24,2024-11-24 21:50:00,,f,f
9033,,,doe south entrance,water bottles,beige hydroflask w/ country stickers,,Jon Doe,Jon Doe,circ,2024-11-24 21:30:29.682949,2024-11-24 21:47:35.372268,,,Moff 4,2024-11-22,,,f,f
9034,,,doe south entrance,water bottles,blue jujutsu kaisen waterbottle,,Jon Doe,Jon Doe,circ,2024-11-24 21:31:58.839503,2024-11-24 21:47:06.372306,,,Moff 4,2024-11-22,,,f,f
9035,,,doe south entrance,water bottles,silver groq w/ black twist cap,,Jon Doe,Jon Doe,circ,2024-11-24 21:32:32.287228,2024-11-24 21:46:52.312447,,,Moff 4,2024-11-22,,,f,f
9036,,,doe south entrance,water bottles,black hydroflask,,Jon Doe,Jon Doe,circ,2024-11-24 21:33:09.556741,2024-11-24 21:45:42.915704,,,Moff 4,2024-11-22,,,f,f
9037,,,doe south entrance,water bottles,gray owala,,Jon Doe,Jon Doe,circ,2024-11-24 21:33:31.343254,2024-11-24 21:45:23.58004,,,Moff 4,2024-11-22,,,f,f
9038,,,doe south entrance,water bottles,blue stanley waterbottle,,Jon Doe,Jon Doe,circ,2024-11-24 21:33:59.784734,2024-11-24 21:45:04.055487,,,Moff 4,2024-11-22,,,f,f
9039,,,doe south entrance,public transit cards,clipper card - hexuan tang,,Jon Doe,Jon Doe,patron,2024-11-25 01:05:22.093446,2024-12-04 19:13:21.930098,,,moff 4,2024-11-24,2024-11-25 00:25:00,,f,f
9040,,,moffitt 4th fl entrance,wallet,Clear wallet with Cal ID belonging to Jon Doe. Lego Eeyore keychain (Winnie the Pooh) along with other accessories,,Jon Doe,Jon Doe,Security ,2024-11-26 03:13:57.908507,2024-11-26 03:13:57.908507,,,Moff 5,2024-11-25,2024-11-26 03:13:00,,f,f
9041,,,doe south entrance,earbuds/headphones,Airpods case,,Jon Doe,Jon Doe,Circ staff,2024-11-26 10:13:00.235192,2024-12-04 19:10:10.847781,,,Moffitt,2024-11-26,2024-11-26 10:00:00,,f,f
9042,,,moffitt 4th fl entrance,other ,black charmant eyeglasses case,,Jon Doe,Jon Doe,security,2024-12-02 02:00:35.899825,2024-12-02 02:00:35.899825,,,moff 5th fl,2024-11-30,2024-12-01 01:59:00,,f,f
9043,,,doe south entrance,other,ibuprofen up and up brand ,,Jon Doe,Jon Doe,security,2024-12-02 02:05:29.05212,2024-12-04 19:08:18.612926,,,moff 5th fl,2024-11-30,2024-12-01 02:04:00,,f,f
9044,,,moffitt 3rd fl entrance,"electronic device accessories (including chargers, flash drives, dongles/docking stations, etc.)",Mac Book Charger with gray wire,,Jon Doe,Jon Doe,Abby Daniyan,2024-12-02 09:21:04.878045,2024-12-02 22:02:34.06523,,,Moffit 3,2024-12-02,2024-12-02 09:00:00,Owner,f,t
9045,,,doe south entrance,"clothing (including footwear, hats, gloves, scarves, etc.)",White bow for hair,,Jon Doe,Jon Doe,patron,2024-12-02 21:14:35.294255,2024-12-04 19:08:09.951332,,,moff 4,2024-12-02,2024-12-02 21:14:00,,f,f
9046,,,moffitt 3rd fl entrance,other ,"pills in blue pill case labeled ""Monday""",,Jon Doe,Jon Doe,Patron,2024-12-02 22:02:26.217956,2024-12-02 22:02:26.217956,,,Mof 3,2024-12-02,2024-12-02 22:02:00,,f,f
9047,,,doe south entrance,cal1 id card,Cal1Card ‘Jon Doe’,,Jon Doe,Jon Doe,Patron,2024-12-03 01:39:26.094241,2024-12-04 19:13:37.700256,,,Moffitt 4 Entrance,2024-12-02,2024-12-03 01:39:00,,f,f
9048,,,moffitt 4th fl entrance,cal1 id card,Cal ID (Jon Doe),,Jon Doe,Jon Doe,Patron,2024-12-03 04:22:06.443825,2024-12-03 05:19:41.6553,,,Moffitt 4,2024-12-02,2024-12-03 04:19:00,Owner of card ,f,t
9049,,,moffitt 3rd fl entrance,water bottles,blue Hydrapeak tumbler,,Jon Doe,Jon Doe,Security rover,2024-12-03 06:30:17.43271,2024-12-03 06:32:53.033437,,,Moffitt 4th floor classroom,2024-12-02,2024-12-03 06:25:00,,f,f
9050,,,moffitt 3rd fl entrance,water bottles,"s|m ""Happy Money"" white water bottle",,Jon Doe,Jon Doe,Security rover,2024-12-03 06:31:49.024307,2024-12-03 06:31:49.024307,,,Moffitt 1st floor classroom,2024-12-02,2024-12-03 06:25:00,,f,f
9051,,,doe south entrance,"clothing (including footwear, hats, gloves, scarves, etc.)",red zip-up jacket (American rag),,Jon Doe,Jon Doe,Security rover,2024-12-03 09:43:29.861186,2024-12-04 02:29:57.221535,,,mainstacks level D1,2024-12-03,2024-12-03 21:15:00,,f,f
9052,,,doe north entrance,cal1 id card,"Jon Doe Cal ID card, 123456789",,Jon Doe,Jon Doe,patron,2024-12-03 18:00:10.431009,2024-12-03 18:00:10.431009,,,Outside Doe North,2024-12-03,,,f,f
9053,,,doe south entrance,other,praryer rug (green),,Jon Doe,Jon Doe,student,2024-12-04 09:30:43.28716,2024-12-04 09:30:43.28716,,,moff 4,2024-12-04,2024-12-04 09:28:00,,f,f
9054,,,doe south entrance,water bottles,blue hydroflask with mushroom sticker,,Jon Doe,Jon Doe,security,2024-12-04 10:19:55.998047,2024-12-04 10:19:55.998047,,,level c mainstack,2024-12-04,2024-12-04 10:19:00,,f,f
9055,,,doe south entrance,"electronic device accessories (including chargers, flash drives, dongles/docking stations, etc.)",mac book charger,,Jon Doe,Jon Doe,security,2024-12-04 10:21:14.66947,2024-12-04 10:21:14.66947,,,moffitt level b,2024-12-04,2024-12-04 10:21:00,,f,f
9056,,,doe south entrance,cal1 id card,"in pink case, Jon Doe",,Jon Doe,Jon Doe,Security,2024-12-04 13:50:21.640432,2024-12-04 19:07:10.508378,,,moffitt 5th floor,2024-12-04,2024-12-04 13:50:00,,f,f
9057,,,moffitt 4th fl entrance,"laptops/tablets (including macbook, ipads, windows operating system devices, etc.)",Mac Book Charger - USBC (WHITE),,Jon Doe,Jon Doe,Patron,2024-12-04 18:04:34.964755,2024-12-04 18:04:34.964755,,,Moffitt 4th floor,2024-11-04,2024-11-04 18:04:00,,f,f
9058,,,doe south entrance,other ,Green pencil case w/ lion on it,,Jon Doe,Jon Doe,na,2024-12-04 19:15:35.582611,2024-12-04 19:15:35.582611,,,Moff 4,2024-12-03,2024-12-04 02:03:00,,f,f
9059,,,doe south entrance,cal1 id card,Jon Doe’s Cal Credit card,,Jon Doe,Jon Doe,patron,2024-12-04 19:17:26.967952,2024-12-04 19:17:26.967952,,,Moff 4 entrance,2024-11-22,,,f,f
9060,,,doe south entrance,"electronic device accessories (including chargers, flash drives, dongles/docking stations, etc.)",MacBook charger,,Jon Doe,Jon Doe,na,2024-12-04 19:18:30.633264,2024-12-04 19:18:30.633264,,,moffitt 1st floor,2024-12-04,2024-12-04 14:50:00,,f,f
